American Airlines , 6 , None , 0.27593 , 0.15 , -1 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 6 , 194.116.93.7 , 0.289208 , -1 , -1 , 1
Huffington Post , 6 , None , 0.301726 , 0.13 , -1 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 6 , None , 0.202388 , -1 , -1 , 1
Krystle Campbell , 6 , 138.246.99.249 , 0.395948 , 0.14 , 0.0529 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 6 , None , 0.198984 , -1 , -1 , 1
Girls Love Beyonce , 6 , None , 0.218035 , 0.15 , -1 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 6 , 138.246.99.249 , 0.159871 , -1 , 0.0589 , 1
Tracy McGrady , 6 , 153.19.19.253 , 0.299814 , 0.19 , 45.24 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 6 , 129.206.210.127 , 0.18056 , -1 , 7.946 , 1
USA TODAY , 6 , None , 0.236614 , 0.16 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 6 , None , 0.178617 , -1 , -1 , 1
Washington Post , 6 , None , 0.213104 , 0.14 , -1 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 6 , None , 0.183328 , -1 , -1 , 1
Carlos Arredondo , 6 , 129.206.210.127 , 0.27478 , 0.2 , 7.926 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 6 , None , 0.176608 , -1 , -1 , 1
Outside Lands , 6 , None , 0.209026 , 0.11 , -1 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 6 , None , 0.163706 , -1 , -1 , 1
ricin , 7 , None , 0.162165 , 0.09 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 7 , None , 0.308512 , -1 , -1 , 1
American Airlines , 7 , None , 0.297807 , 0.17 , -1 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 7 , 138.246.99.249 , 0.264967 , -1 , 0.0508 , 1
Huffington Post , 7 , None , 0.20124 , 0.13 , -1 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 7 , None , 0.197751 , -1 , -1 , 1
Krystle Campbell , 7 , 89.107.96.200 , 0.254121 , 0.17 , -1 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 7 , 138.246.99.249 , 0.161344 , -1 , 0.0644 , 1
Girls Love Beyonce , 7 , 138.246.99.249 , 0.217425 , 0.14 , 0.0527 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 7 , 208.69.33.19 , 0.167483 , -1 , 8.769 , 1
Tracy McGrady , 7 , 138.246.99.249 , 0.367248 , 0.2 , 0.0554 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 7 , 138.246.99.249 , 0.153433 , -1 , 0.0487 , 1
USA TODAY , 7 , 138.246.99.249 , 0.308443 , 0.24 , 0.0522 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 7 , 138.246.99.249 , 0.189197 , -1 , 0.0516 , 1
Washington Post , 7 , 138.246.99.249 , 0.279064 , 0.19 , 0.066 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 7 , 208.69.33.21 , 0.164215 , -1 , 8.744 , 1
Carlos Arredondo , 7 , 138.246.99.249 , 0.373306 , 0.2 , 0.0455 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 7 , 138.246.99.249 , 0.177233 , -1 , 0.0682 , 1
Outside Lands , 7 , 138.246.99.249 , 0.17253 , 0.11 , 0.0658 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 7 , 138.246.99.249 , 0.206737 , -1 , 0.0521 , 1
ricin , 8 , 195.189.31.3 , 0.241872 , 0.17 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 8 , 138.246.99.249 , 0.271337 , -1 , 0.0567 , 1
American Airlines , 8 , 138.246.99.249 , 0.285132 , 0.17 , 0.0503 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 8 , 178.33.222.130 , 0.212818 , -1 , 39.16 , 1
Huffington Post , 8 , 138.246.99.249 , 0.214679 , 0.14 , 0.0641 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 8 , 138.246.99.249 , 0.177739 , -1 , 0.0619 , 1
Krystle Campbell , 8 , 138.246.99.249 , 0.233541 , 0.15 , 0.0476 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 8 , 138.246.99.249 , 0.1539 , -1 , 0.0707 , 1
Girls Love Beyonce , 8 , 138.246.99.249 , 0.215945 , 0.14 , 0.0643 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 8 , 138.246.99.249 , 0.174049 , -1 , 0.0484 , 1
Tracy McGrady , 8 , 194.168.255.81 , 0.282333 , 0.18 , 64.78 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 8 , 138.246.99.249 , 0.161802 , -1 , 0.0682 , 1
USA TODAY , 8 , None , 0.197716 , 0.13 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 8 , 138.246.99.249 , 0.173118 , -1 , 0.0688 , 1
Washington Post , 8 , 138.246.99.249 , 0.259987 , 0.18 , 0.0665 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 8 , None , 0.146519 , -1 , -1 , 1
Carlos Arredondo , 8 , 138.246.99.249 , 0.281834 , 0.2 , 0.0474 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 8 , 138.246.99.249 , 0.197618 , -1 , 0.0462 , 1
Outside Lands , 8 , 138.246.99.249 , 0.174644 , 0.11 , 0.0435 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 8 , 138.246.99.249 , 0.173565 , -1 , 0.0595 , 1
ricin , 9 , 138.246.99.249 , 0.248295 , 0.18 , 0.054 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 9 , 138.246.99.249 , 0.215412 , -1 , 0.0526 , 1
American Airlines , 9 , 138.246.99.249 , 0.3234 , 0.19 , 0.0666 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 9 , 74.125.189.21 , 0.252688 , -1 , 19.84 , 1
Huffington Post , 9 , 138.246.99.249 , 0.22933 , 0.16 , 0.0621 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 9 , 138.246.99.249 , 0.19546 , -1 , 0.0641 , 1
Krystle Campbell , 9 , 138.246.99.249 , 0.282148 , 0.2 , 0.0688 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 9 , 138.246.99.249 , 0.167589 , -1 , 0.0427 , 1
Girls Love Beyonce , 9 , 138.246.99.249 , 0.253198 , 0.18 , 0.0492 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 9 , 138.246.99.249 , 0.241438 , -1 , 0.0506 , 1
Tracy McGrady , 9 , 138.246.99.249 , 0.272285 , 0.16 , 0.0469 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 9 , 138.246.99.249 , 0.164586 , -1 , 0.065 , 1
USA TODAY , 9 , 138.246.99.249 , 0.23954 , 0.17 , 0.0508 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 9 , 138.246.99.249 , 0.181523 , -1 , 0.0696 , 1
Washington Post , 9 , 138.246.99.249 , 0.231861 , 0.16 , 0.0519 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 9 , 91.212.149.254 , 0.178782 , -1 , 54.73 , 1
Carlos Arredondo , 9 , 138.246.99.249 , 0.228154 , 0.14 , 0.0592 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 9 , 138.246.99.249 , 0.17515 , -1 , 0.0443 , 1
Outside Lands , 9 , 138.246.99.249 , 0.190831 , 0.12 , 0.0628 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 9 , 138.246.99.249 , 0.158856 , -1 , 0.0602 , 1
ricin , 0 , None , 0.24972 , 0.18 , -1 , 0
I8vPW0WIP48ylw7N8Y09fDTWBir7hkyL , 0 , 138.246.99.249 , 0.199708 , -1 , 0.0467 , 1
Krystle Campbell , 0 , None , 0.324789 , 0.21 , -1 , 0
n3n5ksayQpe5h1QmhpLpt5fanQ5ZQZOn , 0 , 138.246.99.249 , 0.180685 , -1 , 0.054 , 1
Huffington Post , 0 , 138.246.99.249 , 0.325168 , 0.25 , 0.0606 , 0
cW9wfsXu9vpyWwnqN0bv3TlZZ0rgK4LX , 0 , 138.246.99.249 , 0.180256 , -1 , 0.0669 , 1
Girls Love Beyonce , 0 , None , 0.277547 , 0.2 , -1 , 0
tKUWxFNwuuN3pm2EFQg8aOgOV6xusx8m , 0 , 138.246.99.249 , 0.206604 , -1 , 0.0629 , 1
BBC News , 0 , None , 0.223283 , 0.14 , -1 , 0
7fcFlvzBoaNeUOMsN5i2XnkBwzwcxKw3 , 0 , 138.246.99.249 , 0.182523 , -1 , 0.067 , 1
Carlos Arredondo , 0 , 217.192.143.129 , 0.296963 , 0.22 , 28.31 , 0
2PxQpZTeSW2ttUCrxA41rToO8rgEE9Br , 0 , 138.246.99.249 , 0.265166 , -1 , 0.051 , 1
Tracy McGrady , 0 , 138.246.99.249 , 0.346513 , 0.24 , 0.0519 , 0
yMC4mRMSa8OSBc2cJC2zyQloGUMty0q6 , 0 , 138.246.99.249 , 0.192633 , -1 , 0.0457 , 1
Washington Post , 0 , None , 0.205288 , 0.13 , -1 , 0
yszQQFmQ45JLik833EAoTmU2WivHYfeO , 0 , None , 0.197469 , -1 , -1 , 1
Outside Lands , 0 , 138.246.99.249 , 0.226627 , 0.15 , 0.064 , 0
WTINXV1jE7NrQgCu3zyjCXaeVbD9wJkE , 0 , 138.246.99.249 , 0.171565 , -1 , 0.0442 , 1
Patton Oswalt , 0 , 138.246.99.249 , 0.342248 , 0.2 , 0.0627 , 0
zjn1yucXxibs667QwIJpqExRAMct82gl , 0 , 91.190.247.9 , 0.255159 , -1 , 18.69 , 1
ricin , 1 , 138.246.99.249 , 0.198637 , 0.12 , 0.0462 , 0
I8vPW0WIP48ylw7N8Y09fDTWBir7hkyL , 1 , None , 0.173204 , -1 , -1 , 1
Krystle Campbell , 1 , 138.246.99.249 , 0.242212 , 0.14 , 0.0495 , 0
n3n5ksayQpe5h1QmhpLpt5fanQ5ZQZOn , 1 , 62.152.168.253 , 0.207212 , -1 , 26.02 , 1
Huffington Post , 1 , 62.152.185.12 , 0.207473 , 0.14 , 27.01 , 0
cW9wfsXu9vpyWwnqN0bv3TlZZ0rgK4LX , 1 , 138.246.99.249 , 0.180371 , -1 , 0.048 , 1
Girls Love Beyonce , 1 , 138.246.99.249 , 0.210165 , 0.13 , 0.0482 , 0
