American Airlines , 6 , None , 0.267315 , 0.17 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 6 , None , 0.127355 , -1 , -1 , 1
Huffington Post , 6 , None , 0.202778 , 0.14 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 6 , None , 0.153853 , -1 , -1 , 1
Krystle Campbell , 6 , None , 0.260855 , 0.18 , -1 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 6 , None , 0.198051 , -1 , -1 , 1
Girls Love Beyonce , 6 , None , 0.206687 , 0.16 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 6 , None , 0.151175 , -1 , -1 , 1
Tracy McGrady , 6 , None , 0.225641 , 0.15 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 6 , None , 0.128232 , -1 , -1 , 1
USA TODAY , 6 , None , 0.159398 , 0.12 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 6 , 130.149.49.136 , 0.115802 , -1 , 0.116 , 1
Washington Post , 6 , None , 0.248601 , 0.2 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 6 , None , 0.147154 , -1 , -1 , 1
Carlos Arredondo , 6 , None , 0.201672 , 0.14 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 6 , None , 0.182427 , -1 , -1 , 1
Outside Lands , 6 , None , 0.175185 , 0.12 , -1 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 6 , 130.149.49.136 , 0.133924 , -1 , 0.077 , 1
ricin , 7 , None , 0.243894 , 0.19 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 7 , None , 0.117958 , -1 , -1 , 1
American Airlines , 7 , 130.149.49.136 , 0.539734 , 0.17 , 0.106 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 7 , 130.149.49.136 , 0.118505 , -1 , 0.1 , 1
Huffington Post , 7 , None , 0.2104 , 0.15 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 7 , 130.149.49.136 , 0.175841 , -1 , 0.094 , 1
Krystle Campbell , 7 , None , 0.262725 , 0.19 , -1 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 7 , 130.149.49.136 , 0.140695 , -1 , 0.111 , 1
Girls Love Beyonce , 7 , None , 0.25049 , 0.18 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 7 , None , 0.13461 , -1 , -1 , 1
Tracy McGrady , 7 , None , 0.262891 , 0.19 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 7 , 130.149.49.136 , 0.140352 , -1 , 0.06 , 1
USA TODAY , 7 , None , 0.252933 , 0.18 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 7 , 130.149.49.136 , 0.163119 , -1 , 0.121 , 1
Washington Post , 7 , None , 0.220478 , 0.15 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 7 , None , 0.12636 , -1 , -1 , 1
Carlos Arredondo , 7 , None , 0.244107 , 0.18 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 7 , 130.149.49.136 , 0.136588 , -1 , 0.079 , 1
Outside Lands , 7 , 130.149.49.136 , 0.171639 , 0.12 , 0.061 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 7 , None , 0.183894 , -1 , -1 , 1
ricin , 8 , None , 0.168421 , 0.12 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 8 , 130.149.49.136 , 0.415771 , -1 , 0.057 , 1
American Airlines , 8 , None , 0.251355 , 0.17 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 8 , None , 0.116241 , -1 , -1 , 1
Huffington Post , 8 , None , 0.246787 , 0.18 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 8 , 130.149.49.136 , 0.127624 , -1 , 0.059 , 1
Krystle Campbell , 8 , 130.149.49.136 , 0.262221 , 0.19 , 0.099 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 8 , None , 0.148596 , -1 , -1 , 1
Girls Love Beyonce , 8 , None , 0.259238 , 0.2 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 8 , None , 0.149474 , -1 , -1 , 1
Tracy McGrady , 8 , 130.149.49.136 , 0.238403 , 0.15 , 0.123 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 8 , None , 0.123342 , -1 , -1 , 1
USA TODAY , 8 , None , 0.175957 , 0.12 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 8 , None , 0.15894 , -1 , -1 , 1
Washington Post , 8 , None , 0.200591 , 0.14 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 8 , 130.149.49.136 , 0.125926 , -1 , 0.145 , 1
Carlos Arredondo , 8 , None , 0.216794 , 0.14 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 8 , None , 0.12665 , -1 , -1 , 1
Outside Lands , 8 , None , 0.266053 , 0.2 , -1 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 8 , 130.149.49.136 , 0.150426 , -1 , 0.07 , 1
ricin , 9 , None , 0.214366 , 0.16 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 9 , None , 0.155375 , -1 , -1 , 1
American Airlines , 9 , None , 0.222945 , 0.13 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 9 , None , 0.176422 , -1 , -1 , 1
Huffington Post , 9 , None , 0.216683 , 0.16 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 9 , 130.149.49.136 , 0.121101 , -1 , 0.128 , 1
Krystle Campbell , 9 , 130.149.49.136 , 0.229686 , 0.15 , 0.118 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 9 , None , 0.203604 , -1 , -1 , 1
Girls Love Beyonce , 9 , None , 0.294772 , 0.22 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 9 , 130.149.49.136 , 0.130099 , -1 , 0.098 , 1
Tracy McGrady , 9 , None , 0.313588 , 0.24 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 9 , None , 0.115755 , -1 , -1 , 1
USA TODAY , 9 , None , 0.193779 , 0.14 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 9 , 130.149.49.136 , 0.158043 , -1 , 0.11 , 1
Washington Post , 9 , 130.149.49.136 , 0.207118 , 0.14 , 0.064 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 9 , 130.149.49.136 , 0.1265 , -1 , 0.077 , 1
Carlos Arredondo , 9 , None , 0.251248 , 0.18 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 9 , 130.149.49.136 , 0.160869 , -1 , 0.142 , 1
Outside Lands , 9 , 130.149.49.136 , 0.161641 , 0.11 , 0.102 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 9 , 130.149.49.136 , 0.243508 , -1 , 0.11 , 1
ricin , 0 , 130.149.49.136 , 0.211927 , 0.15 , 0.087 , 0
5G4JAX0vXh4p4p1BSvTZ3AhLXgqLciJt , 0 , None , 0.181356 , -1 , -1 , 1
Krystle Campbell , 0 , 130.149.49.136 , 0.239624 , 0.17 , 0.098 , 0
uSqSbVwEAEvc7dTkWxfC6d4HgPKfeGav , 0 , None , 0.221273 , -1 , -1 , 1
Huffington Post , 0 , 130.149.49.136 , 0.218889 , 0.14 , 0.115 , 0
YJwlGD0sGbgqlXfQihHT6z8UQUh8w4CS , 0 , None , 0.206618 , -1 , -1 , 1
Girls Love Beyonce , 0 , 130.149.49.136 , 0.416446 , 0.36 , 0.098 , 0
ZwwTfe6EYcmrf5ReWRSQLb4oihTOEKHh , 0 , 130.149.49.136 , 0.185684 , -1 , 0.114 , 1
BBC News , 0 , None , 0.27566 , 0.23 , -1 , 0
9h2U5EZesnhevpgYFFDgy6iUBSxMoH6o , 0 , 130.149.49.136 , 0.160716 , -1 , 0.059 , 1
Carlos Arredondo , 0 , None , 0.221563 , 0.16 , -1 , 0
991SnGXUojsI3eA3IznGTHhlECPaEhNN , 0 , 130.149.49.136 , 0.277616 , -1 , 0.121 , 1
Tracy McGrady , 0 , None , 0.306833 , 0.21 , -1 , 0
8rOWv5HsygbLxXGPzVqbwePX7QLhHDqU , 0 , None , 0.204955 , -1 , -1 , 1
Washington Post , 0 , None , 0.23675 , 0.19 , -1 , 0
Av1FcHk3CGI5JW8bm3nEiJULRbZ7uR2u , 0 , None , 0.215261 , -1 , -1 , 1
Outside Lands , 0 , None , 0.318438 , 0.26 , -1 , 0
BVBeQFD2vFFWYKTSPyEQuBeatNfxf7SK , 0 , 130.149.49.136 , 0.144706 , -1 , 0.073 , 1
Patton Oswalt , 0 , None , 0.372442 , 0.29 , -1 , 0
troeDWfF0Ac0Ty3QeU1o80Ie1zrUn40m , 0 , None , 0.245275 , -1 , -1 , 1
ricin , 1 , None , 0.218041 , 0.16 , -1 , 0
5G4JAX0vXh4p4p1BSvTZ3AhLXgqLciJt , 1 , 130.149.49.136 , 0.158514 , -1 , 0.097 , 1
Krystle Campbell , 1 , None , 0.273564 , 0.2 , -1 , 0
uSqSbVwEAEvc7dTkWxfC6d4HgPKfeGav , 1 , None , 0.139834 , -1 , -1 , 1
Huffington Post , 1 , None , 0.197157 , 0.14 , -1 , 0
YJwlGD0sGbgqlXfQihHT6z8UQUh8w4CS , 1 , None , 0.132507 , -1 , -1 , 1
Girls Love Beyonce , 1 , None , 0.259573 , 0.21 , -1 , 0
