squCqBTWMS2nPp1EMf3bRXyEtmZc0Fpy , 1 , 195.130.124.2 , 0.549303 , -1 , 0.082
Krystle Campbell , 1 , 194.20.8.4 , 0.827093 , 0.15 , -1 ,
Rih1hpQWfTUZgQYpwguAZ9LO5kZgZaSt , 1 , 195.130.124.2 , 0.630596 , -1 , 0.064
Huffington Post , 1 , 195.130.124.2 , 0.644047 , 0.14 , 0.062
HPuA83B1jYyFTFVXPLdTmcH9zcbgHNDK , 1 , 74.125.18.160 , 0.634351 , -1 , 65.0
Girls Love Beyonce , 1 , 195.130.124.2 , 0.636858 , 0.11 , 0.076
zOwIJkjO8PAgqEdj5niog3BHpj2nYGZN , 1 , 74.125.16.88 , 0.596757 , -1 , -1 ,
BBC News , 1 , 195.130.124.2 , 0.647572 , 0.16 , 0.074
5ZzrxUrwvtMIUcN6mkhG9eD21laRXsUo , 1 , 195.130.124.2 , 0.58504 , -1 , 0.085
Carlos Arredondo , 1 , 194.204.159.22 , 0.76487 , 0.11 , -1 ,
o499QBnqglqdSbVBTyAT5jGnJHn0QlAy , 1 , 80.169.158.122 , 0.718023 , -1 , 63.6
Tracy McGrady , 1 , 195.130.124.2 , 0.796921 , 0.13 , 0.078
Z8iMJJAcaLJmPhEHHv4hRPPZZkAzBdxI , 1 , 195.130.124.2 , 0.574259 , -1 , 0.072
Washington Post , 1 , 195.130.124.2 , 0.76139 , 0.16 , 0.082
gWw6ihLFBR7Cen7wQ3T0J0Ks5KIb8Ptl , 1 , 195.130.124.2 , 0.57866 , -1 , 0.063
Outside Lands , 1 , 192.221.156.22 , 0.734858 , 0.09 , -1 ,
yL6YaQUUquJ67vfCOON2QU7IBRZjIzOV , 1 , 195.130.124.2 , 0.711947 , -1 , 0.076
Patton Oswalt , 1 , 195.130.124.2 , 0.860252 , 0.17 , 0.077
QsRDSoEtSvNOcthzcLKSigzLlRP3Y3M9 , 1 , 195.130.124.2 , 0.612765 , -1 , 0.087
ricin , 2 , 195.130.124.2 , 0.640639 , 0.17 , 0.08
squCqBTWMS2nPp1EMf3bRXyEtmZc0Fpy , 2 , 195.130.124.2 , 0.629717 , -1 , 0.075
Krystle Campbell , 2 , 193.43.36.9 , 0.709558 , 0.15 , -1 ,
Rih1hpQWfTUZgQYpwguAZ9LO5kZgZaSt , 2 , 195.130.124.2 , 0.647787 , -1 , 0.093
Huffington Post , 2 , 195.130.124.2 , 0.670405 , 0.14 , 0.063
HPuA83B1jYyFTFVXPLdTmcH9zcbgHNDK , 2 , 41.181.99.93 , 0.631545 , -1 , -1 ,
Girls Love Beyonce , 2 , 195.130.124.2 , 0.639749 , 0.15 , 0.087
zOwIJkjO8PAgqEdj5niog3BHpj2nYGZN , 2 , 195.130.124.2 , 0.637012 , -1 , 0.073
BBC News , 2 , 74.125.189.22 , 0.649575 , 0.11 , 53.4
5ZzrxUrwvtMIUcN6mkhG9eD21laRXsUo , 2 , 195.130.124.2 , 0.635102 , -1 , 0.062
Carlos Arredondo , 2 , 41.0.1.3 , 0.596552 , 0.2 , -1 ,
o499QBnqglqdSbVBTyAT5jGnJHn0QlAy , 2 , 195.130.124.2 , 0.612406 , -1 , 0.055
Tracy McGrady , 2 , 195.130.124.2 , 0.812707 , 0.17 , 0.077
Z8iMJJAcaLJmPhEHHv4hRPPZZkAzBdxI , 2 , 195.130.124.2 , 0.615679 , -1 , 0.065
Washington Post , 2 , 195.130.124.2 , 0.653411 , 0.14 , 0.086
gWw6ihLFBR7Cen7wQ3T0J0Ks5KIb8Ptl , 2 , None , 0.621873 , -1 , -1 ,
Outside Lands , 2 , 195.130.124.2 , 0.604083 , 0.09 , 0.063
yL6YaQUUquJ67vfCOON2QU7IBRZjIzOV , 2 , 195.130.124.2 , 0.642979 , -1 , 0.062
Patton Oswalt , 2 , 195.130.124.2 , 0.846741 , 0.22 , 0.062
QsRDSoEtSvNOcthzcLKSigzLlRP3Y3M9 , 2 , 195.130.124.2 , 0.656473 , -1 , 0.071
ricin , 3 , 195.130.124.2 , 0.620914 , 0.12 , 0.072
squCqBTWMS2nPp1EMf3bRXyEtmZc0Fpy , 3 , 195.130.124.2 , 0.568536 , -1 , 0.059
Krystle Campbell , 3 , 195.130.124.2 , 0.715902 , 0.11 , 0.07
Rih1hpQWfTUZgQYpwguAZ9LO5kZgZaSt , 3 , 195.130.124.2 , 0.612015 , -1 , 0.082
Huffington Post , 3 , 195.130.124.2 , 0.615764 , 0.12 , 0.087
HPuA83B1jYyFTFVXPLdTmcH9zcbgHNDK , 3 , 195.130.124.2 , 0.628823 , -1 , 0.084
Girls Love Beyonce , 3 , 195.130.124.2 , 0.640686 , 0.13 , 0.067
zOwIJkjO8PAgqEdj5niog3BHpj2nYGZN , 3 , 195.130.124.2 , 0.626473 , -1 , 0.082
BBC News , 3 , 195.130.124.2 , 0.620544 , 0.18 , 0.059
5ZzrxUrwvtMIUcN6mkhG9eD21laRXsUo , 3 , 195.130.124.2 , 0.664199 , -1 , 0.083
Carlos Arredondo , 3 , 195.130.124.2 , 0.61367 , 0.13 , 0.082
o499QBnqglqdSbVBTyAT5jGnJHn0QlAy , 3 , 195.130.124.2 , 0.636424 , -1 , 0.067
Tracy McGrady , 3 , 195.130.124.2 , 0.787824 , 0.18 , 0.073
Z8iMJJAcaLJmPhEHHv4hRPPZZkAzBdxI , 3 , 194.84.23.125 , 0.659365 , -1 , -1 ,
Washington Post , 3 , 195.130.124.2 , 0.692283 , 0.14 , 0.07
gWw6ihLFBR7Cen7wQ3T0J0Ks5KIb8Ptl , 3 , 195.130.124.2 , 0.551442 , -1 , 0.071
Outside Lands , 3 , 195.130.124.2 , 0.617218 , 0.15 , 0.064
